id,title,User,Publication path,Authors,Publisher details
1699,"Christophe Jaffrelot, L’inde contemporaine de 1950 à nos jours, Fayard, Paris, 1996",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:4DMP91E08xMC,M Boivin,"Bulletin critique des Annales islamologiques 14 (1), 140-144"
1700,"Heinz Halm, Das Reich des Mahdi. Der Aufstieg der Fatimiden (875-973). CH Beck, München, 1991",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:EkHepimYqZsC,M Boivin,"Bulletin critique des Annales islamologiques 13 (1), 72-74"
1701,"Khurshid Kamal Aziz, The Pakistani Historian. Pride and Prejudice in the writing of History. Vanguard Books, Lahore, 1993",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:ZuybSZzF8UAC,M Boivin,"Bulletin critique des Annales islamologiques 13 (1), 188-192"
1702,"Marie Dupont, Les Druzes. Éditions Brepols, Turnhout (Belgique), 1994",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:kNdYIx-mwKoC,M Boivin,"Bulletin critique des Annales islamologiques 13 (1), 74-76"
1703,"'Ārif Tāmir, Tārīḫ al-Ismā'īliyya. Riad El-Rayyes Books Ltd, London, 1991",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:Mojj43d5GZwC,M Boivin,"Bulletin critique des Annales islamologiques 12 (1), 79-81"
1704,"Farhad Daftary, The Assassins Legends: Myths of the Isma'ilis. IB Tauris, London/New York, 1994",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:D03iK_w7-QYC,M Boivin,"Bulletin critique des Annales islamologiques 12 (1), 81-82"
1705,"Christopher Shackle and Zawahir Moir, Ismaili Hymns from. South Asia. An introduction to the ginans. School of Oriental and African Studies, South Asian Texts 3, University of …",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:KUbvn5osdkgC,M Boivin,"Bulletin critique des Annales islamologiques 11 (1), 72-74"
1706,"Shah Karim al-Husayni, Kalam e imam e zaman, ed. by N. Tajdin, sl (Montréal), vol. 1, Farmans to the Western World (1957-1992), sd (1992), vol. 2, Farmans to Asia and Middle …",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:OU6Ihb5iCvQC,M Boivin,"Bulletin critique des Annales islamologiques 11 (1), 75-77"
1707,"Mohammad-Ali Amir-Moezzi, Le guide divin dans le shîʿisme originel. Aux sources de l’ésotérisme en Islam. Verdier, 1993",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:hFOr9nPyWt4C,M Boivin,"Bulletin critique des Annales islamologiques 11 (1), 68-71"
1708,"Modernisation autoritaire en Turquie et en Iran sous la direction de Semih Vaner. L’Harmattan, Paris, 1991",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:ILKRHgRFtOwC,M Boivin,"Bulletin critique des Annales islamologiques 10 (1), 59-61"
1709,"Abbas Amanat, Resurrection and Renewal. The Making of the Babi Movement in Iran, 1844-1850. Cornell University Press, Ithaca, New York, 1989",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:7T2F9Uy0os0C,M Boivin,"Bulletin critique des Annales islamologiques 10 (1), 88-92"
1710,La ré́novation du Shî'isme ismaélien sous l'imamat de Sulţân Muḩammad Shah Aga Khan (1885-1957),data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:0EnyYjriUFMC,M Boivin,Université Paris-Sorbone
1711,"Farhad Daftary, The Ismāˁīlīs, Their history and doctrines. Cambridge University Press, Cambridge, 1990",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:vV6vV6tmYwMC,M Boivin,"Bulletin critique des Annales islamologiques 9 (1), 67-69"
1712,Khwaja Khizr in Iconographic Translation: The Changing Visual Idiom of a Complex Figure from South Asia,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:BUYA1_V_uYcC,M Boivin,"Inter-religious Practices and Saint Veneration in the Muslim World, 84-103"
1713,AND ICONOGRAPHY,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:URolC5Kub84C,M Boivin,
1714,"Date Wednesday, July 11, 2018 at 8: 00AM",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:epqYDVWIO7EC,"M Muhailan, MA Moustafa",
1715,Mapping Cults of Khidr-Khizr from Middle East to South Asia,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:NJ774b8OgUMC,"M Boivin, M Pénicaud","Inter-religious Practices and Saint Veneration in the Muslim World, 18-18"
1716,Table des légendes des illustrations de début de chapitre,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:LjlpjdlvIbIC,M Boivin,
1717,"Date Thursday, March 15, 2018 at 8: 00AM",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:WqliGbK-hY8C,"B Deaton, N Villalobos, A Mytinger, M Boivin",
1718,Devotional Islam in,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:HE397vMXCloC,"M Boivin, R Delage",
1719,HEMODIALYSIS (HD) INDUCES INTERLEUKIN-6 EXPRESSION,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:Tiz5es2fbqcC,"DSC Raj, M Boivin, SI Battah, K Kalantar-Zadeh",
1720,La rénovation du Shîʾisme ismaélien en Inde et au Pakistan: d'après les écrits et les discours de Sult̲ān Muh̲ammad Shah Aga Khan (1902-1954),data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:dfsIfKJdRG4C,M Boivin,(No Title)
1721,"Islam, langues et identités régionales dans l’Inde coloniale: l’exemple du Sindh",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zo4EEjMAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=zo4EEjMAAAAJ:r0BpntZqJG4C,M Boivin,
1722,The Role of investigative journalism in combating corruption in Kurdistan region: (an analytical study),data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:ufrVoPGSRksC,"HMA Jwan Jalaladeen, Hersh Rasool Murad","Journal of University of Raparin 10 (2), 26"
1723,دور تكنولوجيا الإتصال الحديثة في تفعيل أداء العلاقات العامة,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:5nxA0vEk-isC,HRM Dilshin D. Abdulla,"Polytechnic Journal of Humanities and Social Sciences 4 (2), 11"
1724,The Challenges of Investigative Journalism in Kurdistan Region and Developing Prospects Investigative Journalist’s Perspective as an Example,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:_FxGoFyzp5QC,"HMA Jwan Jalaladeen, Hersh Rasool Murad","JKSS 4 (10), 41"
1725,Information Disorder in the Kurdistan Region,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:LkGwnXOMwfcC,"DJ Hersh Rasool, Harem Karem","Pasawan Non-Governmental Organization 2 (pasawan.com), 30"
1726,Perceived impact of social media on panic buying: An online cross-sectional survey in Iraqi Kurdistan,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:UeHWp8X0CEIC,"SMY Arafat, AR Ahmad, HR Murad, HM Kakashekh","Frontiers in public health 9, 668153"
1727,حرية الصحافة في إقليم كوردستان- العراق: دراسة في ظل القوانين النافذة,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:Se3iqnhoufwC,HR Murad,"jopss 4 (7), 16"
1728,تأثير اعلانات التسويق الاجتماعي في سلوك الجمهور بخصوص الوقاية من فيروس كورونا دراسة ميدانية لعينة من مواطني إقليم كُردستان العراق,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:roLk4NBRz8UC,HM Habeeb Ibrahim,"hjuod 24 (1), 26"
1729,استخدامات منصات الاعلام الاجتماعي من قبل مواطني اقليم كوردستان العراق في زمن وباء الكورونا المستجد (Covid-19),data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:Zph67rFs4hoC,"AO Karwan Ali Qadir, Hersh Rasool Murad","jpss 6 (2), 1"
1730,مستوى الإشباعات المتحققة من إستخدام وسائل الإعلام التقليدية والجديدة لشباب إقليم كُردستان العراق: دراسة مسحية مقارنة,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:KlAtU1dfN6UC,"BDH Hersh Rasool Murad, Hemin Mejeed Hassan","University of Raparin Journal 3 (1), 18"
1731,Effects of the Facebook boycott campaign on Turkish products and its influence on demand of Kurdish consumers 2020,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:u-x6o8ySG0sC,A Ramazan Ahmad,"UKH Journal of social sciences 5 (1), 98-106"
1732,Impact Of Using Facebook On Social Relationships Of The Youth In The Kurdistan Region Of Iraq: A Field Research,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:u5HHmVD_uO8C,HR Murad,"Qalaai Zanist Journal 5 (3), 591-613"
1733,الصحافة الإستقصائية وأخلاقياتها: دراسة نظرية,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:0EnyYjriUFMC,HR Murad,"المجلة الجزائرية لبحوث الإعلام والرأي العام 3 (1), 17"
1734,The impact of social media on panic during the COVID-19 pandemic in Iraqi Kurdistan: online questionnaire study,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:9yKSN-GCB0IC,"AR Ahmad, HR Murad","Journal of medical Internet research 22 (5), e19556"
1735,رۆڵی (فەیسبوک) لە بڵاوکردنەوەی هۆشیاریی دهربارهى (کۆرۆنا) لە هەرێمی کوردستاندا (توێژینهوهیهکى مهیدانییه),data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:Y0pCki6q_DkC,"HR Murad, YA Mohammad, DA Rashid","Journal of Garmian University 7 (1), 75-96"
1736,Free Communication Fake News in the Context of the Covid-19 Pandemic,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:Tyk-4Ss8FVUC,"A Abd-Alrazaq, D Alhuwail, M Househ, M Hamdi, Z Shah, AR Ahmad, ...","Int. J. Environ. Res. Public Health 22 (4), 1-11"
1737,""" ریپۆرتکردن"" وەک ئامرازێک بۆ کپکردنی رای جیاواز لەبارەی دینی ئیسلامەوە) پەیچ و ئەکاونتە ریپۆرتکراوەکانی"" فهیسبوك"" بە نمونە",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:2osOgNQ5qMEC,"AR Ahmad, HR Murad, HM Kakashekh","Journal of University of Raparin 6 (2), 392-413"
1738,پێگەی راگەیاندنی نیشتمانیی لە هەرێمی کوردستاندا,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:MXK_kJrjxJIC,KAQ Hersh Rasool Murad,"Journal of Arts, Literature, Humanities and Social Science 9 (4), 27"
1739,موقع حرية التعبير في مشروع دستور اقليم كوردستان,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:8k81kl-MbHgC,HR Murad,"نحو دستور معاصر لإقليم كوردستان - العراق 2 (1), 7"
1740,RAIS RESEARCH,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:d1gkVwhDpl0C,"HR Murad, TD Kareem","THE FUTURE OF, 90"
1741,Etiquette of Mediaâ€™ s Responsibility during Crises,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:qjMakFHDy7sC,"HR Murad, TD Kareem","Working papers Conference proceedings The Future of Ethics, Education and …"
1742,رۆژنامەنوسیی لۆکاڵیی لە باشوری کوردستاندا,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:kNdYIx-mwKoC,ARA Hersh Rasool Murad,"University of Raparin Journal 3 (4), 34"
1743,"کاریگەریی راگەیاندنی کۆمەڵایەتیی لەسەر ناساندنی ""راپەڕین"" و گەشەپێدانی واتاکانی لە هەرێمی کوردستاندا",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:3fE2CSJIrl8C,TDK Hersh Rasool Murad,"University of Raparin Journal 3 (4), 29"
1744,الوظيفة الثقافية للصحافة الكوردية في إقليم كوردستان العراق,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:UebtZRa9Y70C,MKA Hersh Rasool Murad,"Kurdistan Academic Journal 3 (5), 28"
1745,ستونی رۆژنامەنوسی لە رۆژنامەی (هاوڵاتی)دا,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:hqOjcs7Dif8C,MKA Hersh Rasool Murad,"Kurdistan Academic Journal 3 (1), 34"
1746,ئاستەنگەکانی بەردەم دروستبونی دەسەڵاتی چوارەم لە هەرێمی کوردستاندا,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lCJAV_4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lCJAV_4AAAAJ:ULOm3_A8WrAC,HR Murad,"ئێتیک و یاسا لە میدیای کوردیدا 3 (2), 37"
1747,Improving classification accuracy for prostate cancer using noise removal filter and deep learning technique,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=W1KMFy4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=W1KMFy4AAAAJ:u5HHmVD_uO8C,"AM Ali, AA Mohammed","Multimedia Tools and Applications 81 (6), 8653-8669"
1748,A State-of-the-Art Review on Machine Learning-based Methods for Prostate Cancer Diagnosis,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=W1KMFy4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=W1KMFy4AAAAJ:u-x6o8ySG0sC,"AM ali Ahmed, AA Mohammed","UHD Journal of Science and Technology 5 (1), 41-47"
1749,Prevalence and Determine Knowledge and Attitude of Tobacco Smoking Among Secondary School Students in Sulaimani City.,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6a3SxXsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6a3SxXsAAAAJ:inmFHauC9wsC,"MS Qadir, SM Weli",Journal of Contemporary Medical Sciences 10 (3)
1750,"Worldwide trends in underweight and obesity from 1990 to 2022: a pooled analysis of 3663 population-representative studies with 222 million children, adolescents, and adults",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6a3SxXsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6a3SxXsAAAAJ:hfzGNhXhx5MC,"NH Phelps, RK Singleton, B Zhou, RA Heap, A Mishra, JE Bennett, ...","The Lancet 403 (10431), 1027-1050"
1751,Prevalence of cardiovascular disease risk factors among secondary school pupils in Sulaimani city Kurdistan-Iraq. A cross-sectional study,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6a3SxXsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6a3SxXsAAAAJ:q1zXlPLtbUIC,"MS Qadir, SM Weli","Journal of the Faculty of Medicine Baghdad 65 (2), 129-134"
1752,Diminishing benefits of urban living for children and adolescents’ growth and development,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6a3SxXsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6a3SxXsAAAAJ:c1AJUTjuCtUC,,"Nature 615 (7954), 874-883"
1753,Characterization of Vaginitis Among Women Complaining of Genital Tract Symptoms,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6a3SxXsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6a3SxXsAAAAJ:Vztgr1qGG8IC,"HM Kareem, MS Qadir, SB Karim, SJ Ali","Kurdistan Journal of Applied Research, 152-159"
1754,Association between work-relate musculoskeletal disorder and ergonomic risk factors among nursing professionals in ranya and qaladiza districts,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6a3SxXsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6a3SxXsAAAAJ:oqD4_j7ulsYC,"KM Khudhir, KK Saleh, MS Qadir, KA Mahmood, AA Ariffin","Kurdistan journal of applied research 2 (2), 65-70"
1755,Assessment the knowledge of mothers ‘toward home accident among children less than five years in Polytechnic University of Sulaimani,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6a3SxXsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6a3SxXsAAAAJ:cRMvf6lLvU8C,"AO Qasem, LA Abas, BAH Hussein, MS Qadir, FA Salih","Kurdistan Journal of Applied Research 2 (1), 21-26"
1756,"Prevalence of obesity and associated factors among secondary school students in Slemani City Kurdistan Region, Iraq",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6a3SxXsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6a3SxXsAAAAJ:4fGpz3EwCPoC,"MS Qadir, L Rampal, SM Sidik, SM Said, ZS Ramzi","Malays J Med Health Sci 10 (2), 27-38"
1757,Inoculation of wheat with Azospirillum sp. bacteria and study of their germinated portions effects on common carp performance and health aspects,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DI89NgQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DI89NgQAAAAJ:zYLM7Y9cAGgC,"SK Talabani, SA Abid, NMA Abdulrahman, HSH Halshoy, SH Karim","Advancements in Life Sciences 10 (3), 464-471"
1758,"A checklist of lichens from Iraq, with four new records of lichens from Iraq",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DI89NgQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DI89NgQAAAAJ:qjMakFHDy7sC,"SH Karim, SA Salih, AA Al-Zubaidy",Lindbergia 2021 (1)
1759,"Salicylic acid, Jasmonic acid and ethylene involved in the resistance induced by the Rhizobacterium Pta-Ct2 in Arabidopsis thaliana against Botrytis cinerea",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DI89NgQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DI89NgQAAAAJ:u-x6o8ySG0sC,"SA Abid, SH Karim","Journal of Plant Production 12 (4), 361-364"
1760,Influence of Animal Manures on Carbon Mineralisation and Nutrient Availability in Calcareous Soil,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DI89NgQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DI89NgQAAAAJ:u5HHmVD_uO8C,"AO Mohammad, DJ Mohammed, SA Abid, SH Karim","Journal of Zankoy Sulaimani-Part A 22 (2), 55-62"
1761,Bettered strength and fracture behavior of plain weave carbon fiber reinforced epoxy laminate with open hole under the influence of hole shape/size and strain rate,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:ULOm3_A8WrAC,"RM Abdalrahman, S Rostam, HD Lafta","Results in Engineering 25, 103906"
1762,Machine learning-based predictive maintenance for fault detection in rotating machinery: A case study,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:8k81kl-MbHgC,"AF Khalil, S Rostam","Engineering, Technology & Applied Science Research 14 (2), 13181-13189"
1763,Optimizing the blending ratio and processing parameters for ternary blends of recycled polypropylene with recycled high and virgin linear low-densities polyethylene,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:UebtZRa9Y70C,"HA HamaSalih, RM Abdalrahman, S Rostam","Results in Engineering 18, 101171"
1764,Evaluation of tensile properties of Meriz fiber reinforced epoxy composites using Taguchi method,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:Se3iqnhoufwC,"B Hiwa, YM Ahmed, S Rostam","Results in Engineering 18, 101037"
1765,Investigation of the Properties of High-Density Polyethylene Pipes used in Kurdistan for Piping System of Potable Water,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:LkGwnXOMwfcC,S Rostam,"Kurdistan Journal of Applied Research 6 (2), 166-180"
1766,Investigation of tensile property-based Taguchi method of PLA parts fabricated by FDM 3D printing technology,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:_FxGoFyzp5QC,"M Hikmat, S Rostam, YM Ahmed","Results in Engineering 11, 100264"
1767,Investigation of flexural and creep behavior of epoxy-based nano-sized CaTiO3 particles,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:ufrVoPGSRksC,"S Rostam, DMT Mustafa, SB Aziz","Results in Materials 9, 100164"
1768,"Investigation of tensile property-based Taguchi method of PLA parts fabricated by FDM 3D printing technology, Results Eng. 11 (2021), 100264",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:YOwf2qJgpHMC,"M Hikmat, S Rostam, YM Ahmed",J. RINENG
1769,Investigation of tensile property-based Taguchi method of PLA parts fabricated by FDM 3D printing technology. Results Eng 2021; 11: 100264,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:kNdYIx-mwKoC,"M Hikmat, S Rostam, YM Ahmed",
1770,"Investigation of tensile property-based Taguchi method of PLA parts fabricated by FDM 3D printing technology. Results in Engineering, 11, 100264",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:3fE2CSJIrl8C,"M Hikmat, S Rostam, YM Ahmed",
1771,Investigation of tensile property-based Taguchi method of PLA parts fabricated by FDM 3D printing technology. Results Eng 11: 100264,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3QXHqU4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=3QXHqU4AAAAJ:MXK_kJrjxJIC,"M Hikmat, S Rostam, YM Ahmed",
